root_uid	relationmention_id	child_uid	textoffset_startchar	textoffset_endchar	text_string	mediamention_signaltype	mediamention_starttime	mediamention_endtime	keyframe_id	mediamention_coordinates	description	type	subtype	subsubtype	attribute	start_date_type	start_date	end_date_type	end_date
IC001V8WF	RMIC001V8WF.000100	IC001VBI8	125	133	President	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Venezuelas President Nicolas Maduro	organizationaffiliation	leadership	headofstate	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001V8WF	RMIC001V8WF.000374	IC001VBI8	283	291	President	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Venezuelan President Nicolás Maduro	organizationaffiliation	leadership	headofstate	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001V8WF	RMIC001V8WF.000823	IC001VBI8	690	703	co-conspirator	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Julio Borges was a co-conspirator in plot to assassinate Maduro	generalaffiliation	sponsorship	affiliated	none	startbefore	2018-08-04	endon	2018-08-04
IC001V8WF	RMIC001V8WF.000938	IC001VBI8	594	597	said	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Maduro says Julio Borges was a co-conspirator in plot to assassinate him	responsibilityblame	assignblame	assignblame	none	startbefore	2018-08-04	endon	2018-08-04
IC001V8WF	RMIC001V8WF.001053	IC001VBI8	813	821	indicated	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Several declarations indicated Borges was behind plot to assassinate Maduro	responsibilityblame	assignblame	assignblame	none	startbefore	2018-08-04	endon	2018-08-04
IC001V8WF	RMIC001V8WF.001126	IC001VBI8	977	984	involved	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Maduro says Requesens was involved in the failed attempt	generalaffiliation	sponsorship	affiliated	none	startbefore	2018-08-04	endon	2018-08-04
IC001V8WF	RMIC001V8WF.001147	IC001VBI8	939	949	singled out	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Juan Requesens was singled out by Maduro	responsibilityblame	assignblame	assignblame	none	startbefore	2018-08-04	endon	2018-08-04
IC001V8WF	RMIC001V8WF.001659	IC001VBI8	1732	1734	six	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	six others	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001V8WF	RMIC001V8WF.001764	IC001VBI8	1829	1832	pair	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	a pair of commercial drone aircraft	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001V8WF	RMIC001V8WF.001911	IC001VBI8	2149	2153	seven	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	at least seven troops	measurement	size	count	none	startunk	EMPTY_NA	endunk	EMPTY_NA
IC001V8WF	RMIC001V8WF.002060	IC001VBI8	1764	1773	connection	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	six others connected to plot	generalaffiliation	sponsorship	affiliated	none	startafter	2018-08-04	endunk	EMPTY_NA
IC001V8WF	RMIC001V8WF.002440	IC001VBI8	312	318	accused	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Nicolás Maduro accuses opposition of trying to assassinate him	responsibilityblame	assignblame	assignblame	none	starton	2018-08-07	endunk	EMPTY_NA
IC001V9U9	RMIC001V9U9.000285	IC001VBJM	109	111	six	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Six people	measurement	size	count	none	startbefore	2018-08-05	endunk	EMPTY_NA
IC001V9U9	RMIC001V9U9.000332	IC001VBJM	205	213	President	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Maduro leads Venezuela	organizationaffiliation	leadership	headofstate	none	startunk	EMPTY_NA	endunk	EMPTY_NA
